Serial Number:20293298 --

Date Time - GMT +05:00,"Temp, (*F)","RH, (%)","DewPt, (*F)",Host Connect,Button Down,EOF,
2018-05-05 02:08:23,44.89,99.98,44.90, , , ,
2018-05-05 02:23:23,44.81,99.98,44.82, , , ,
2018-05-05 02:38:23,44.81,99.98,44.82, , , ,
2018-05-05 02:53:23,44.74,99.98,44.74, , , ,
2018-05-05 03:08:23,44.66,99.77,44.61, , , ,
2018-05-05 03:23:23,44.43,98.90,44.15, , , ,
2018-05-05 03:38:23,43.66,98.39,43.24, , , ,
2018-05-05 03:53:23,43.27,99.51,43.15, , , ,
2018-05-05 04:08:23,43.11,99.90,43.10, , , ,
2018-05-05 04:23:23,42.96,99.85,42.93, , , ,
2018-05-05 04:38:23,42.96,99.51,42.84, , , ,
2018-05-05 04:53:23,42.88,99.45,42.75, , , ,
2018-05-05 05:08:23,43.11,99.48,42.99, , , ,
2018-05-05 05:23:23,43.35,99.56,43.24, , , ,
2018-05-05 05:38:23,43.66,99.95,43.65, , , ,
2018-05-05 05:53:23,45.59,99.98,45.59, , , ,
2018-05-05 06:08:23,47.59,97.46,46.93, , , ,
2018-05-05 06:23:23,46.36,97.25,45.63, , , ,
2018-05-05 06:38:23,46.82,94.15,45.24, , , ,
2018-05-05 06:53:23,48.60,95.21,47.31, , , ,
2018-05-05 07:08:23,50.06,89.59,47.15, , , ,
2018-05-05 07:23:23,50.91,90.14,48.15, , , ,
2018-05-05 07:38:23,52.07,86.95,48.33, , , ,
2018-05-05 07:53:23,51.38,91.43,48.99, , , ,
2018-05-05 08:08:23,53.31,86.78,49.50, , , ,
2018-05-05 08:23:23,54.85,83.13,49.86, , , ,
2018-05-05 08:38:23,54.16,83.47,49.28, , , ,
2018-05-05 08:53:23,51.38,94.42,49.85, , , ,
2018-05-05 09:08:23,51.38,94.42,49.85, , , ,
2018-05-05 09:23:23,50.76,95.50,49.54, , , ,
2018-05-05 09:38:23,50.99,96.79,50.13, , , ,
2018-05-05 09:53:23,50.76,96.77,49.89, , , ,
